Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Saptak Sengupta             117           64.3         95.4                1.71
Schalk Neethling              2          200.0        182.7              100.00
Scott González               37           27.0        175.2                5.41
Sean Robinson               135           93.1         88.3                1.48
Sebastian Burkhard            2           10.5        164.5                0.00
Shashanka Nataraj             8           10.7        107.1                0.00
Sindre Sorhus                20           30.3        171.6               10.00
Steve Mao                    19           41.3        119.3                0.00
Sylvester Keil               22           71.0        187.7                0.00
TJ Holowaychuk                2           50.0        202.4                0.00
TJ VanToll                   15           78.9        147.2                0.00
Thomas Tortorini            200           75.2        137.0                2.00
Timmy Willison            10158            8.0         95.9               16.00
Timo Tijhof                 594           17.0        117.8                9.76
Toby Brain                    8           25.0        178.0                0.00
TomTensor                    97          100.0          4.5                0.00
Uri Gilad                     9           37.5        169.8                0.00
Veaceslav Grimalschi          1           50.0        142.9                0.00
Victor Homyakov               1           25.0        140.5                0.00
Vitaliy Terziev              32          100.0        127.3                0.00
Vladimir Zhuravlev            7            9.9        170.6                0.00
William Robinet               3          100.0        126.5               33.33
Wonseop Kim                  33          194.1         76.7                3.03
Xavi Ramirez                  8           20.5        187.8               12.50
Yehuda Katz                 304           19.1        203.1                4.61
Yiming He                     6           27.3        166.4                0.00
Yongwoo Jeon                  2          200.0        134.1                0.00
abnud1                      245            2.3         90.5               24.08
ac-mmi                       41           93.2         23.7                9.76
avaly                        26           48.1        183.8                0.00
basil.belokon                26           70.3        105.0                0.00
buddh4                       13           39.4         89.5                0.00
fecore1                      30           71.4         59.3                0.00
karan-96                     16           28.6        115.5                0.00
metsw24-max                  14          100.0          3.7               21.43
nanto_vi                     25           96.2        163.9                0.00
neogy-akash                   3          100.0         22.8              100.00
studystill                    5          100.0         12.5               20.00
tmybr11                       2          200.0        100.6                0.00
tsinha                        1           10.0        173.0                0.00
南漂一卒                     62           96.9        115.1                6.45
高灰                         45           73.8         71.3                4.44

The following monthly history timeline has been gathered from the repository:

Author                  2006-03    2006-04    2006-05    2006-06    2006-07 
Gilles van den Hoven                             -+++          +            
John Resig             ++++++++  --+++++++   ---+++++   ----++++   --++++++ 
Michael Geary                                                             . 
Stefan Petre                                                   .            
Yehuda Katz                                                               . 
Modified Lines:            1576        104        993       3765       6003 

Author                  2006-08    2006-09    2006-10    2006-11    2006-12 
