Statistical information for the repository 'pango' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Author                  2002-12    2003-01    2003-02    2003-03    2003-04 
Chema Celorio                                       .                       
Dov Grobgeld                                            -+++++++            
Matthias Clasen               .                                             
Owen Taylor           --+++++++   ++++++++  -----++++              -------+ 
Padraig O'Briain                         .                                  
Sven Neumann                                                  -+          . 
Tor Lillqvist                            .                                  
Modified Lines:            1031        169        241         17       4511 

Author                  2003-05    2003-06    2003-07    2003-08    2003-09 
Hans Breuer                                         .                       
Keith Packard                            .                                  
Matthias Clasen                     ---+++                                . 
Noah Levitt                                                    .            
Owen Taylor           -++++++++  ----+++++   -+++++++  ------+++   --++++++ 
Soeren Sandmann                                                .            
Sven Neumann                  +                     .                       
Tor Lillqvist                 .          .                     .            
Modified Lines:             479        230       1085      13206       3300 

Author                  2003-10    2003-11    2003-12    2004-01    2004-02 
Hans Breuer                                         .                     . 
Manish Singh                             .                                . 
Matthias Clasen                                     .                       
Morten Welinder                          .                                  
Noah Levitt                      ----+++++        +++                     + 
Owen Taylor            ----++++          .          .   ---+++++  ----+++++ 
Padraig O'Briain                         .                                  
Roozbeh Pournader                                              .            
Sven Neumann                             .          +                       
Tor Lillqvist                               -----++++                       
Modified Lines:              21       1077        118         36       3195 

Author                  2004-03    2004-04    2004-05    2004-06    2004-07 
Anders Carlsson                          .                                  
Behdad Esfahbod                                                           . 
Changwoo Ryu                     -++++++++                                . 
Christopher Blizzard                                         +++            
Dov Grobgeld                  .                                             
Jody Goldberg                                       .                       
Manish Singh               -+++                                           . 
Morten Welinder                                                           . 
Murray Cumming                .                                             
Owen Taylor            --++++++              ++++++++   --++++++  ----+++++ 
Theppitak Karoonboon                     .          .          +            
Tor Lillqvist                 .          .                                  
Modified Lines:             572         41       1604       1724       3925 

Author                  2004-08    2004-09    2004-10    2004-11    2004-12 
Dov Grobgeld          +++++++++                                             
Hans Breuer                   .                                .            
Manish Singh                                        .                       
Matthias Clasen                                                .            
Owen Taylor                 +++   --++++++             -++++++++   ++++++++ 
Theppitak Karoonboon                         ----++++      --+++            
Tor Lillqvist                 .          .                                . 
Modified Lines:             312       4241        440       1799        989 

Author                  2005-01    2005-02    2005-03    2005-04    2005-05 
5                                                                         . 
Carl Worth                                                     .            
Changwoo Ryu                                                   +            
Hans Breuer                                         .         -+            
Manish Singh                             .          .          .          . 
Matthias Clasen               .                                             
Owen Taylor           +++++++++   --++++++  ---++++++   ---+++++  ----+++++ 
Theppitak Karoonboon                                .                       
Tor Lillqvist                                       .   --++++++            
Modified Lines:            2176       1794       2781        882        228 

Author                  2005-06    2005-07    2005-08    2005-09    2005-10 
Behdad Esfahbod               .          .         -+        ---     ---+++ 
Hans Breuer                              .                                  
Jean Brefort                                                   .            
Keith Packard                                       -                       
Manish Singh                             .                                  
Matthias Clasen                                                .            
Owen Taylor           -++++++++   --++++++    --+++++              ++++++++ 
Roozbeh Pournader                            ---+++++                       
Tor Lillqvist                            .              --++++++            
Modified Lines:            1668       2615        640        467         20 

Author                  2005-11    2005-12    2006-01    2006-02    2006-03 
Anders Carlsson               .                                             
Behdad Esfahbod       ------+++   ----++++   ---+++++   ----++++   ----++++ 
Federico Mena Quinte      +++++                                             
Hans Breuer                                                    .            
Matthias Clasen               .                                             
Tor Lillqvist                                                  .          . 
Modified Lines:           26123        254       4159       6881      32857 

Author                  2006-04    2006-05    2006-06    2006-07    2006-08 
Behdad Esfahbod        ----++++   ---+++++   ---+++++  ----+++++   --++++++ 
Hans Breuer                                         +                     . 
Richard Hult                                                   .            
Tor Lillqvist                 .          .                                  
Modified Lines:             985        450        529       2747       1468 

Author                  2006-09    2006-10    2006-11    2006-12    2007-01 
Behdad Esfahbod        --++++++   -+++++++   --++++++   -+++++++  ---++++++ 
Changwoo Ryu                                                   +          . 
Roozbeh Pournader                                   .                       
Modified Lines:            1357        247        440       1374       3099 

Author                  2007-02    2007-03    2007-04    2007-05    2007-06 
Behdad Esfahbod               .          .   --++++++  ----+++++   ---+++++ 
Mathias Hasselmann                                             .            
Owen Taylor                   .                                             
Richard Hult                             +          .          .         -+ 
Tor Lillqvist          --++++++   ------++          .                     - 
Modified Lines:             680        739        200       6810       3178 

Author                  2007-07    2007-08    2007-09    2007-10    2007-11 
Behdad Esfahbod        -------+  --------+   ----++++   ----++++   -----+++ 
Dov Grobgeld                                                   .            
Mathias Hasselmann                                  .                       
