Statistical information for the repository 'django' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Brad Walker                      3            31             26            0.00
Brandon Adams                    1             1              1            0.00
Brandon Chinn                    2            29              2            0.00
Brandon Taylor                   1            13              1            0.00
Brendan MacDonell                1             6              1            0.00
Brendon Crawford                 1             7              3            0.00
Brenton Partridge                1            14             14            0.00
Brett Cannon                     1             5              5            0.00
Brett Haydon                     1            11              3            0.00
Brian Galey                      2            11              8            0.00
Brian Gianforcaro                1             1              1            0.00
Brian Helba                      2            48              2            0.00
Brian Holdefehr                  1            95              1            0.01
Brian King                       1           116              1            0.01
Brian Rosner                    99          9841           4106            0.75
Brobin                           1            28              0            0.00
Brock                            1            81             30            0.01
Browniebroke                     1           134            144            0.02
Bruce Cutler                     1             5              1            0.00
Bruno Alla                       5           237             46            0.02
Bruno Ribeiro da Sil             1             3              0            0.00
Bryan Marty                      1            17              3            0.00
Buddy Lindsey, Jr                2            74              1            0.00
CHI Cheng                        5            41             29            0.00
Caio Ariede                      9           260             35            0.02
Caitie Baca                      1            62              5            0.00
Caleb Smith                      1            22              0            0.00
Calvin DeBoer                    1           164              3            0.01
Cameron Curry                    1            17              1            0.00
Camilo Nova                      1            28              2            0.00
Can Sarigol                      1            68             20            0.00
Candide U                        2            10              9            0.00
Carl Meyer                     146          7597           3603            0.61
Carl Worth                       3            59             13            0.00
Carles Pina                      1            29              0            0.00
Carles Pina Estany               1            17              1            0.00
Carles Pina i Estany             1            43              0            0.00
Carlton Gibson                 123          4574           2038            0.36
Carny Cheng                      1            15              0            0.00
Caroline Simpson                 1            80              0            0.00
Carson Gee                       1            18              0            0.00
Cauê Thenório                    1            38              0            0.00
Ceesjan Luiten                   1            16             15            0.00
Cesar Canassa                    1             1              1            0.00
Chaitanya                        1            14              1            0.00
Chaitanya Rahalkar               1            23             14            0.00
Chandrakant Kumar                2            52             18            0.00
Charlie Denton                   3            38              6            0.00
CharulL00                        1           110             81            0.01
Chason Chaffin                   2            28              2            0.00
Chenyang Yan                     1            21              0            0.00
Chesco Igual                     1            18              0            0.00
Cheuk Ting Ho                    1             7              0            0.00
Chillar Anand                    3            40             58            0.01
Chinmoy                          1             2              4            0.00
Chinmoy Chakraborty              5           231             39            0.01
Chris Adams                      1            57              3            0.00
Chris Adkins                     1             2              0            0.00
Chris Bailey                     2            68            137            0.01
Chris Bainbridge                 1             3              1            0.00
Chris Beaven                    60          1828            446            0.12
Chris Burchhardt                 1             1              2            0.00
Chris Cogdon                     2            36              2            0.00
Chris Jerdonek                 137          3639           1614            0.28
Chris Khoo                       1             5              1            0.00
Chris Lamb                      14           227             65            0.02
Chris Lawlor                     1            41             34            0.00
Chris Muthig                     5           712            327            0.06
Chris Rose                       2           830            257            0.06
Chris Sinchok                    2            34              0            0.00
Chris Streeter                   1            23              0            0.00
Chris Wesseling                  1            46              0            0.00
Chris Wilson                     6           131             20            0.01
Christian Barcenas               1             4              6            0.00
Christian Clauss                 1             3              3            0.00
